customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,chrun_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count
0002-ORFBO,3/15/2021,Refferal,3/15/2025,Standard,Annual,,,13.99,627,12,0,keshav,India,Maharashtra,Male,4/12/1982,,,,
0003-MKNFE,8/1/2020,Paid,8/1/2024,Premium,Annual,9/10/2024,Switched to competitor,12.99,1150,91,1,raghav,India,Karnataka,Male,11/23/1995,8/28/2024,Y,10,2
0004-TLHLJ,11/20/2022,Organic,11/20/2025,Basic,Monthly,,,6.99,210,34,0,lalita,India,Delhi,Female,2/15/1978,,,,
0011-IGKFF,5/10/2019,Paid,5/10/2025,Premium,Annual,,,22.99,1725,8,0,mohan,India,Nagaland,Male,8/30/2001,,,,
0013-EXCHZ,1/5/2023,Refferal,1/5/2024,Standard,Monthly,2/28/2024,Too expensive,13.99,195,88,1,mira,India,Delhi,Female,5/5/1990,1/20/2024,Y,20,1
0013-MHZWF,6/18/2022,Paid,6/18/2025,Standard,Annual,,,17.99,720,22,0,durga,India,Delhi,Female,12/10/1988,3/18/2025,N,90,1
0013-SMEOE,9/30/2021,Refferal,9/30/2024,Basic,Monthly,11/15/2024,Not enough content,8.99,230,79,1,mina,India,Meghalaya,Female,9/21/1976,11/1/2024,N,30,1
0014-BMAQU,2/14/2020,Organic,2/14/2025,Premium,Annual,,,22.99,1840,5,0,madan,India,Rajasthan,Male,3/14/1999,,,,
0015-UOCOJ,7/22/2023,Organic,7/22/2024,Standard,Monthly,,,13.99,240,34,0,maya,Nepal,Kathmandu,Female,7/7/1985,,,,
0016-QLJIS,4/3/2022,Organic,4/3/2025,Basic,Annual,,,6.99,335,41,0,arjun,Nepal,Kathmandu,Male,10/29/1993,,,,
0017-DINOC,12/1/2021,Organic,12/1/2025,Premium,Annual,,,22.99,1610,14,0,shiva,India,Maharashtra,Male,1/22/1997,,,,
0017-IUDMW,3/17/2023,Refferal,3/17/2024,Standard,Monthly,5/1/2024,Poor streaming quality,7.99,270,83,1,rangadevi,India,Karnataka,Female,6/18/1981,4/10/2024,Y,25,1
0018-NYROU,10/9/2020,Organic,10/9/2025,Standard,Annual,,,13.99,980,19,0,chitra,India,Telangana,Female,12/1/2004,,,,
0019-EFAEP,8/25/2022,Refferal,8/25/2024,Basic,Monthly,10/31/2024,Switched to competitor,12.99,160,76,1,raju,India,Meghalaya,Female,4/25/1992,9/27/2024,Y,30,1
0019-GFNTW,11/11/2019,Paid,11/11/2025,Premium,Annual,,,92.99,2185,3,0,Madhav,India,Uttar Pradesh,Male,11/11/1979,,,,
0020-INWCK,5/6/2023,Organic,5/6/2025,Standard,Monthly,,,13.99,640,58,0,parvati,India,Delhi,Female,2/28/1986,,,,
0020-JDNXP,1/19/2022,Organic,1/19/2024,Premium,Annual,,,20.99,550,62,0,rikim,India,Meghalaya,Female,8/19/1994,,,,
0021-IKXGC,7/7/2021,Paid,7/7/2025,Standard,Annual,,,13.99,840,27,0,vishakha,India,Rajasthan,Female,9/2/2000,,,,
0022-TCJCI,9/14/2023,Refferal,9/14/2024,Basic,Monthly,9/14/2024,Forgot to cancel trial,16.99,42,99,1,raghvendra,India,Telangana,Male,12/30/1983,9/14/2024,N,90,2
0023-HGHWL,6/23/2020,Organic,6/23/2025,Premium,Annual,,,22.99,1955,7,0,rishabh,India,Uttar Pradesh,Male,5/14/1991,,,,
0023-UYUPN,12/31/2022,Paid,12/31/2025,Standard,Monthly,,,13.99,790,47,0,sudevi,India,Maharashtra,Female,10/6/1977,,,,
